week_start_date,week_number,category,region,sales_amount,units_sold,avg_order_value,returns_amount
2025-01-06,1,Apparel,North,52839.79,399,132.43,1089.4
2025-01-06,1,Apparel,South,34270.02,445,77.01,1241.87
2025-01-06,1,Apparel,West,41873.27,463,90.44,1028.47
2025-01-06,1,Electronics,North,103756.59,851,121.92,4143.3
2025-01-06,1,Electronics,South,72221.5,1176,61.41,1285.52
2025-01-06,1,Electronics,West,106770.02,2263,47.18,6245.56
2025-01-06,1,Home & Garden,North,31371.57,414,75.78,888.38
2025-01-06,1,Home & Garden,South,27794.02,299,92.96,1369.1
2025-01-06,1,Home & Garden,West,33001.27,307,107.5,406.66
2025-01-06,1,Sports,North,26741.2,245,109.15,495.41
2025-01-06,1,Sports,South,22448.32,192,116.92,718.52
2025-01-06,1,Sports,West,28533.02,493,57.88,991.77
2025-01-13,2,Apparel,North,50093.07,1006,49.79,1315.77
2025-01-13,2,Apparel,South,30281.36,229,132.23,842.96
2025-01-13,2,Apparel,West,41106.81,551,74.6,1526.49
2025-01-13,2,Electronics,North,109141.08,1404,77.74,3929.45
2025-01-13,2,Electronics,South,63587.41,620,102.56,1223.59
2025-01-13,2,Electronics,West,99127.27,1825,54.32,1962.64
2025-01-13,2,Home & Garden,North,37637.38,712,52.86,2233.57
2025-01-13,2,Home & Garden,South,25915.75,205,126.42,516.65
2025-01-13,2,Home & Garden,West,37318.08,296,126.07,511.34
2025-01-13,2,Sports,North,36379.33,440,82.68,574.56
2025-01-13,2,Sports,South,25517.43,319,79.99,336.27
2025-01-13,2,Sports,West,33507.05,431,77.74,879.87
2025-01-20,3,Apparel,North,58977.54,590,99.96,1850.54
2025-01-20,3,Apparel,South,37731.34,483,78.12,1336.77
2025-01-20,3,Apparel,West,44001.77,313,140.58,988.48
2025-01-20,3,Electronics,North,110586.82,800,138.23,3716.91
2025-01-20,3,Electronics,South,87870.84,1526,57.58,4012.38
2025-01-20,3,Electronics,West,96370.99,765,125.98,3343.09
2025-01-20,3,Home & Garden,North,43265.82,626,69.11,599.19
2025-01-20,3,Home & Garden,South,25847.31,342,75.58,466.83
2025-01-20,3,Home & Garden,West,37386.55,288,129.81,722.63
2025-01-20,3,Sports,North,34501.69,248,139.12,1275.43
2025-01-20,3,Sports,South,22796.94,330,69.08,714.81
2025-01-20,3,Sports,West,29229.89,223,131.08,1550.25
2025-01-27,4,Apparel,North,52946.46,636,83.25,3102.09
2025-01-27,4,Apparel,South,29153.04,389,74.94,345.3
2025-01-27,4,Apparel,West,46142.56,423,109.08,1621.17
2025-01-27,4,Electronics,North,102261.06,1151,88.85,2158.26
2025-01-27,4,Electronics,South,74491.07,1293,57.61,2002.38
2025-01-27,4,Electronics,West,91868.68,923,99.53,4147.96
2025-01-27,4,Home & Garden,North,36411.97,604,60.28,1255.22
2025-01-27,4,Home & Garden,South,28965.8,195,148.54,640.22
2025-01-27,4,Home & Garden,West,38851.84,555,70.0,1803.15
2025-01-27,4,Sports,North,36703.03,438,83.8,1527.41
2025-01-27,4,Sports,South,27027.11,496,54.49,1399.06
2025-01-27,4,Sports,West,38971.56,495,78.73,753.16
2025-02-03,5,Apparel,North,54123.07,377,143.56,913.38
2025-02-03,5,Apparel,South,34799.33,244,142.62,1874.53
2025-02-03,5,Apparel,West,45130.59,626,72.09,1940.58
2025-02-03,5,Electronics,North,104883.95,903,116.15,1135.83
